agent_run_id,created_at,scenario,company_name,ticker,market,agents_run,overall_confidence_level,overall_confidence_score,status,response_path,error_message
AGENT_RUN_20260608T172257Z0000_3f1131c6,2026-06-08T17:22:57+00:00,What financial risks could appear if interest rates rise?,,,,"macroeconomic_agent,company_analysis_agent,sector_analysis_agent,news_intelligence_agent,risk_propagation_agent",medium,0.4577,success,data/agent_outputs/runs/AGENT_RUN_20260608T172257Z0000_3f1131c6.json,
AGENT_RUN_20260608T172331Z0000_3f1131c6_c5b34c06,2026-06-08T17:23:31+00:00,What financial risks could appear if interest rates rise?,,,,"macroeconomic_agent,company_analysis_agent,sector_analysis_agent,news_intelligence_agent,risk_propagation_agent",medium,0.4577,success,data/agent_outputs/runs/AGENT_RUN_20260608T172331Z0000_3f1131c6_c5b34c06.json,
AGENT_RUN_20260608T172342Z0000_3f1131c6_caaafc09,2026-06-08T17:23:42+00:00,What financial risks could appear if interest rates rise?,,,,"macroeconomic_agent,risk_propagation_agent",medium,0.5751,success,data/agent_outputs/runs/AGENT_RUN_20260608T172342Z0000_3f1131c6_caaafc09.json,
AGENT_RUN_20260608T172407Z0000_3f1131c6_9f4157f2,2026-06-08T17:24:07+00:00,What financial risks could appear if interest rates rise?,,,,macroeconomic_agent,medium,0.6785,success,data/agent_outputs/runs/AGENT_RUN_20260608T172407Z0000_3f1131c6_9f4157f2.json,
AGENT_RUN_20260608T172548Z0000_3f1131c6_5398e6b3,2026-06-08T17:25:48+00:00,What financial risks could appear if interest rates rise?,,,,company_analysis_agent,low,0.0,insufficient_evidence,data/agent_outputs/runs/AGENT_RUN_20260608T172548Z0000_3f1131c6_5398e6b3.json,
AGENT_RUN_20260608T172550Z0000_3f1131c6_dc4fc57e,2026-06-08T17:25:50+00:00,What financial risks could appear if interest rates rise?,,,,"macroeconomic_agent,risk_propagation_agent",high,0.7001,success,data/agent_outputs/runs/AGENT_RUN_20260608T172550Z0000_3f1131c6_dc4fc57e.json,
