document_id,source_type,source_name,company_name,ticker,market,document_type,title,source_url,local_path,file_format,ingested_at,published_at,period,status,error_message,content_hash,notes
SEC_AAPL_4_2026-05-29_c498ec,sec,SEC EDGAR company submissions,Apple Inc.,AAPL,US,4,AAPL 4 filing metadata,https://www.sec.gov/Archives/edgar/data/320193/000114036126023363/xslF345X06/form4.xml,data/raw/sec/SEC_AAPL_4_2026-05-29_c498ec.json,json,2026-06-08T11:21:34+00:00,2026-05-29,2026-05-27,saved,,c498ecd3a49a49a5adde859eea699743ada964cb60cac33e6f551cfbd8b7c63e,Accession 0001140361-26-023363; primary document xslF345X06/form4.xml; SEC metadata only.
SEC_AAPL_SD_2026-05-28_aaf2f1,sec,SEC EDGAR company submissions,Apple Inc.,AAPL,US,sd,AAPL SD filing metadata,https://www.sec.gov/Archives/edgar/data/320193/000114036126023149/ef20073373_sd.htm,data/raw/sec/SEC_AAPL_SD_2026-05-28_aaf2f1.json,json,2026-06-08T11:21:34+00:00,2026-05-28,,saved,,aaf2f12e11b901259e205dd6582ae3fea9ab8710ea438698db2c81b3479fde96,Accession 0001140361-26-023149; primary document ef20073373_sd.htm; SEC metadata only.
SEC_AAPL_144_2026-05-27_266288,sec,SEC EDGAR company submissions,Apple Inc.,AAPL,US,144,AAPL 144 filing metadata,https://www.sec.gov/Archives/edgar/data/320193/000192109426000555/xsl144X01/primary_doc.xml,data/raw/sec/SEC_AAPL_144_2026-05-27_266288.json,json,2026-06-08T11:21:34+00:00,2026-05-27,,saved,,2662885d3f708ee3209722205a612cc2e0440612431dd87e48eb2d8042b40836,Accession 0001921094-26-000555; primary document xsl144X01/primary_doc.xml; SEC metadata only.
RSS_YAHOO_FINANCE_NEWS_20260608_3a3c93,rss,Yahoo Finance,,,,news,"Gold prices today, Monday, June 8: Lower to start the week following Israel, Iran missile strikes",,data/raw/rss/RSS_YAHOO_FINANCE_NEWS_20260608_3a3c93.txt,txt,2026-06-08T11:21:35+00:00,2026-06-08T11:09:37Z,,saved,,3a3c93e5e5b5efc6e05deb47054e5af53120d3640908a913966ed2e05d7d8ba7,RSS item summary stored for future document processing.
RSS_YAHOO_FINANCE_NEWS_20260608_c53da3,rss,Yahoo Finance,,,,news,Boralex’s $6.5bn buyout by Brookfield and La Caisse gains court approval,,data/raw/rss/RSS_YAHOO_FINANCE_NEWS_20260608_c53da3.txt,txt,2026-06-08T11:21:35+00:00,2026-06-08T11:08:48Z,,saved,,c53da3cc203f231d55d9aab17c94a80fc1da37e0f1c91b5b51f740b0f18c60a0,RSS item summary stored for future document processing.
RSS_YAHOO_FINANCE_NEWS_20260608_d6bc79,rss,Yahoo Finance,,,,news,"FedEx, China Southern Airlines to explore cargo cooperation",,data/raw/rss/RSS_YAHOO_FINANCE_NEWS_20260608_d6bc79.txt,txt,2026-06-08T11:21:35+00:00,2026-06-08T11:02:46Z,,saved,,d6bc79d9ecc3d1350ac88bd4efc7c48d1a612a25100668edd3d92dd5b583cc3a,RSS item summary stored for future document processing.
RSS_YAHOO_FINANCE_NEWS_20260608_51b9f5,rss,Yahoo Finance,,,,news,"Stock market today: Dow, S&P 500, Nasdaq futures mixed as oil rises after Iran and Israel exchange strikes",,data/raw/rss/RSS_YAHOO_FINANCE_NEWS_20260608_51b9f5.txt,txt,2026-06-08T11:21:35+00:00,2026-06-08T08:53:10Z,,saved,,51b9f5faed4794f06a86ed874da96984fa1500b6ba8ab30b2b273a3e4e7ca714,RSS item summary stored for future document processing.
RSS_YAHOO_FINANCE_NEWS_20260608_65cc52,rss,Yahoo Finance,,,,news,Veterans in Logistics names John Tozer as Chairman,,data/raw/rss/RSS_YAHOO_FINANCE_NEWS_20260608_65cc52.txt,txt,2026-06-08T11:21:35+00:00,2026-06-08T11:00:00Z,,saved,,65cc5231c1feb843d69c5badf090ab85cb6545c2c6bd72c9ad5a0aaeefd2c8fb,RSS item summary stored for future document processing.
RSS_YAHOO_FINANCE_NEWS_20260608_341cd5,rss,Yahoo Finance,,,,news,"Gold prices today, Monday, June 8: Lower to start the week following Israel, Iran missile strikes",https://finance.yahoo.com/personal-finance/investing/article/gold-prices-today-monday-june-8-lower-to-start-the-week-following-israel-iran-missile-strikes-110937603.html,data/raw/rss/RSS_YAHOO_FINANCE_NEWS_20260608_341cd5.txt,txt,2026-06-08T11:22:26+00:00,2026-06-08T11:09:37Z,,saved,,341cd5d1b4f240e3f369e1e6fe548c1947fd74bcbefd977ba43ea1e2aab6e063,RSS item summary stored for future document processing.
