vector_id,chunk_id,processed_document_id,source_document_id,chunk_index,company_name,ticker,market,document_type,source_type,published_at,period,section_hint,embedding_model,embedding_dimension,vector_store,indexed_at,chunk_word_count,chunk_char_count,source_chunk_file,status,error_message
FAISS_PROC_RSS_YAHOO_FINANCE_NEWS_20260608_3a3c93_224b43_chunk_0000_78cfb1,PROC_RSS_YAHOO_FINANCE_NEWS_20260608_3a3c93_224b43_chunk_0000,PROC_RSS_YAHOO_FINANCE_NEWS_20260608_3a3c93_224b43,RSS_YAHOO_FINANCE_NEWS_20260608_3a3c93,,,,,news,rss,2026-06-08T11:09:37Z,,unknown,BAAI/bge-small-en-v1.5,384,faiss,2026-06-08T11:56:57+00:00,24,168,data/processed/chunks/PROC_RSS_YAHOO_FINANCE_NEWS_20260608_3a3c93_224b43_chunks.json,indexed,
FAISS_PROC_RSS_YAHOO_FINANCE_NEWS_20260608_c53da3_26b40d_chunk_0000_78cfb1,PROC_RSS_YAHOO_FINANCE_NEWS_20260608_c53da3_26b40d_chunk_0000,PROC_RSS_YAHOO_FINANCE_NEWS_20260608_c53da3_26b40d,RSS_YAHOO_FINANCE_NEWS_20260608_c53da3,,,,,news,rss,2026-06-08T11:08:48Z,,unknown,BAAI/bge-small-en-v1.5,384,faiss,2026-06-08T11:56:57+00:00,19,143,data/processed/chunks/PROC_RSS_YAHOO_FINANCE_NEWS_20260608_c53da3_26b40d_chunks.json,indexed,
FAISS_PROC_RSS_YAHOO_FINANCE_NEWS_20260608_d6bc79_757d57_chunk_0000_78cfb1,PROC_RSS_YAHOO_FINANCE_NEWS_20260608_d6bc79_757d57_chunk_0000,PROC_RSS_YAHOO_FINANCE_NEWS_20260608_d6bc79_757d57,RSS_YAHOO_FINANCE_NEWS_20260608_d6bc79,,,,,news,rss,2026-06-08T11:02:46Z,,unknown,BAAI/bge-small-en-v1.5,384,faiss,2026-06-08T11:56:57+00:00,16,130,data/processed/chunks/PROC_RSS_YAHOO_FINANCE_NEWS_20260608_d6bc79_757d57_chunks.json,indexed,
FAISS_PROC_SEC_AAPL_144_2026-05-27_266288_053eeb_chunk_0000_78cfb1,PROC_SEC_AAPL_144_2026-05-27_266288_053eeb_chunk_0000,PROC_SEC_AAPL_144_2026-05-27_266288_053eeb,SEC_AAPL_144_2026-05-27_266288,,Apple Inc.,AAPL,US,144,sec,2026-05-27,,unknown,BAAI/bge-small-en-v1.5,384,faiss,2026-06-08T11:56:57+00:00,27,317,data/processed/chunks/PROC_SEC_AAPL_144_2026-05-27_266288_053eeb_chunks.json,indexed,
FAISS_PROC_SEC_AAPL_4_2026-05-29_c498ec_0c6361_chunk_0000_78cfb1,PROC_SEC_AAPL_4_2026-05-29_c498ec_0c6361_chunk_0000,PROC_SEC_AAPL_4_2026-05-29_c498ec_0c6361,SEC_AAPL_4_2026-05-29_c498ec,,Apple Inc.,AAPL,US,4,sec,2026-05-29,2026-05-27,unknown,BAAI/bge-small-en-v1.5,384,faiss,2026-06-08T11:56:57+00:00,30,323,data/processed/chunks/PROC_SEC_AAPL_4_2026-05-29_c498ec_0c6361_chunks.json,indexed,
FAISS_PROC_SEC_AAPL_SD_2026-05-28_aaf2f1_d6d2e9_chunk_0000_78cfb1,PROC_SEC_AAPL_SD_2026-05-28_aaf2f1_d6d2e9_chunk_0000,PROC_SEC_AAPL_SD_2026-05-28_aaf2f1_d6d2e9,SEC_AAPL_SD_2026-05-28_aaf2f1,,Apple Inc.,AAPL,US,sd,sec,2026-05-28,,unknown,BAAI/bge-small-en-v1.5,384,faiss,2026-06-08T11:56:57+00:00,28,303,data/processed/chunks/PROC_SEC_AAPL_SD_2026-05-28_aaf2f1_d6d2e9_chunks.json,indexed,
