risk_id,created_at,scenario,company_name,ticker,market,scenario_type,overall_risk_score,overall_risk_level,confidence_level,confidence_score,status,response_path,error_message
RISK_20260608T162649Z0000_3f1131c6,2026-06-08T16:26:49+00:00,What financial risks could appear if interest rates rise?,,,,interest_rate_change,46,moderate,low,0.33,success,data/risk_outputs/responses/RISK_20260608T162649Z0000_3f1131c6.json,
RISK_20260608T162732Z0000_3f1131c6,2026-06-08T16:27:32+00:00,What financial risks could appear if interest rates rise?,,,,interest_rate_change,49,moderate,medium,0.52,success,data/risk_outputs/responses/RISK_20260608T162732Z0000_3f1131c6.json,
RISK_20260608T162906Z0000_3f1131c6,2026-06-08T16:29:06+00:00,What financial risks could appear if interest rates rise?,,,,interest_rate_change,46,moderate,low,0.33,success,data/risk_outputs/responses/RISK_20260608T162906Z0000_3f1131c6.json,
RISK_20260608T163112Z0000_3f1131c6,2026-06-08T16:31:12+00:00,What financial risks could appear if interest rates rise?,,,,interest_rate_change,46,moderate,low,0.33,success,data/risk_outputs/responses/RISK_20260608T163112Z0000_3f1131c6.json,
RISK_20260608T163140Z0000_3f1131c6,2026-06-08T16:31:40+00:00,What financial risks could appear if interest rates rise?,,,,interest_rate_change,46,moderate,low,0.33,success,data/risk_outputs/responses/RISK_20260608T163140Z0000_3f1131c6.json,
